norm,train_n,test_n,p,r2_mean,r2_sd,check
frequency_lund,28017,7005,300,0.5221293589856184,0.0083170497578997,pass
frequency_kucera,19291,4823,300,0.5004737753367985,0.0094716901649087,pass
frequency_subtlexus,28636,7159,300,0.5372647115366886,0.0098142770558601,pass
frequency_subtlexuk,29316,7330,300,0.5456434520664459,0.0084158993513701,pass
frequency_blog_gimenes,31876,7969,300,0.5237002530058801,0.00844753701582,pass
frequency_twitter_gimenes,31876,7969,300,0.568620632792727,0.0096158804467699,pass
frequency_news_gimenes,31876,7969,300,0.5805237608244347,0.0054931954351882,pass
frequency_written_cobuild,26509,6628,300,0.4386349226951297,0.0066670121732079,pass
frequency_spoken_cobuild,26509,6628,300,0.3999391622833483,0.0112425088319513,pass
context_diversity_subtlexus,28636,7159,300,0.5499119439165077,0.0091369593593776,pass
context_diversity_subtlexuk,29316,7330,300,0.5570919935420646,0.0069161829243702,pass
context_diversity_blog_gimenes,31876,7969,300,0.5282483100251096,0.0083685400915316,pass
context_diversity_twitter_gimenes,31876,7969,300,0.569303293203587,0.0096290430875498,pass
context_diversity_news_gimenes,31876,7969,300,0.5827534890156685,0.0055544155097516,pass
familiarity_glasgow,3672,919,300,0.4969107118186049,0.0142209196736657,pass
familiarity_brysbaert,27078,6770,300,0.2042128819466492,0.0021531485903983,pass
prevalence_brysbaert,29045,7262,300,0.3712666967573705,0.0085292002020399,pass
aoa_kuperman,20218,5055,300,0.5262395103607886,0.0078383137644928,pass
aoa_brysbaert,14160,3541,300,0.5805724807367234,0.0138842884341316,pass
aoa_glasgow,3672,919,300,0.6197615160936841,0.0058527297220415,pass
frequency_trajectory_brysbaert,12315,3079,300,0.6774209900284358,0.0087964351719256,pass
pos_brysbaert,28580,7145,300,0.6762225128034205,0.0090196039464226,pass
pos_vanheuven,29268,7317,300,0.6369843966390383,0.0050330883331127,pass
concreteness_brysbaert,27078,6770,300,0.7145847071329529,0.0055580996989167,pass
concreteness_glasgow,3672,919,300,0.7812504611085938,0.0096892720083183,pass
