norm,train_n,test_n,p,r2_mean,r2_sd,check
frequency_lund,2524,632,104,-0.1093135907218116,0.0829540141210023,pass
frequency_kucera,2349,588,104,-0.1412380681803782,0.0948848070287279,pass
frequency_subtlexus,2610,653,104,-0.0697048449407338,0.0547752979745137,pass
frequency_subtlexuk,2619,655,104,-0.0785359410341363,0.0581188541150068,pass
frequency_blog_gimenes,2636,660,104,-0.076216771432484,0.0626247324706267,pass
frequency_twitter_gimenes,2636,660,104,-0.0643955777424736,0.0511708896434505,pass
frequency_news_gimenes,2636,660,104,-0.142760249990103,0.1011279198079564,pass
frequency_written_cobuild,2497,625,104,-0.0780986532012342,0.0567914884803832,pass
frequency_spoken_cobuild,2497,625,104,-0.0660582622481046,0.0475804164707367,pass
context_diversity_subtlexus,2610,653,104,-0.0510028757095578,0.0413482151450171,pass
context_diversity_subtlexuk,2619,655,104,-0.0562418237938184,0.0424592052638712,pass
context_diversity_blog_gimenes,2636,660,104,-0.0721365011235318,0.0596977617141297,pass
context_diversity_twitter_gimenes,2636,660,104,-0.0641012417469064,0.0510843468863638,pass
context_diversity_news_gimenes,2636,660,104,-0.1406961254868921,0.1004359826518049,pass
familiarity_glasgow,804,201,104,-0.0093027259228971,0.0111189896674237,pass
familiarity_brysbaert,2024,506,104,-0.0060451178828631,0.0061808886232486,pass
prevalence_brysbaert,2108,527,104,-0.0022201403003903,0.0021690722601031,pass
aoa_kuperman,1711,428,104,-0.0286514403921482,0.0167056521178263,pass
aoa_brysbaert,1544,386,104,-0.0162836431671782,0.016231638414535,pass
aoa_glasgow,804,201,104,-0.011200332173527,0.0062790408483485,pass
frequency_trajectory_brysbaert,2197,550,104,-0.027764640195086,0.0287241021343202,pass
pos_brysbaert,2538,635,104,0.0021273144660332,0.001895219070182,pass
pos_vanheuven,2565,642,104,0.0015205583311741,0.0011840714829585,pass
concreteness_brysbaert,2024,506,104,-0.0515055525976171,0.027819588464994,pass
concreteness_glasgow,804,201,104,-0.1033203533177666,0.0624394086560195,pass
imageability_glasgow,804,201,104,-0.0394346661496122,0.037765283932969,pass
n_senses_wordnet_miller,2414,604,104,-0.0034581455266963,0.0022611516716432,pass
n_senses_wordsmyth_rice,68,18,104,,,test_n < 20
n_meanings_wordsmyth_rice,68,18,104,,,test_n < 20
n_meanings_websters_gao,1882,471,104,-0.0017073254611328,0.0082559454281176,pass
n_features_buchanan,906,227,104,-0.0033225153437705,0.0035567983342037,pass
visual_lancaster,2023,506,104,-0.004914054166935,0.0029373398475702,pass
auditory_lancaster,2023,506,104,-0.0064735675093331,0.0050548433176751,pass
haptic_lancaster,2023,506,104,-0.007218162743291,0.0063763024898669,pass
olfactory_lancaster,2023,506,104,-0.0086021346197936,0.0050818061407983,pass
gustatory_lancaster,2023,506,104,-0.0448637564577198,0.0368128086828168,pass
interoceptive_lancaster,2023,506,104,-0.1414842679756762,0.1116054498948656,pass
head_lancaster,2023,506,104,-0.0126750383123094,0.0099595699134658,pass
torso_lancaster,2023,506,104,-0.0033374268149665,0.0039635324392396,pass
mouth_throat_lancaster,2023,506,104,-0.0096135546663616,0.0080320147317173,pass
hand_arm_lancaster,2023,506,104,-0.006494837903648,0.0057473530105654,pass
foot_leg_lancaster,2023,506,104,-0.0038626563742177,0.0064404415144713,pass
body_object_interact_pexman,930,233,104,-0.0079975531592488,0.0058435813247039,pass
child_body_object_interact,866,217,104,-0.0065905471162284,0.0065477257647205,pass
semantic_size_glasgow,804,201,104,-0.0252596351919844,0.0381488815945468,pass
